group,entry,target,cmd_index,cmd_addr,cmd_name,text_id,text_label,text_category,inferred_role,semantic_bucket,group_confidence_before_pass78,text_preview
$00,95,$B39129,3,$B39133,StartTextBox,03A3,Text_3A3_Animal_AhChickenFeather,Animal,livestock_chicken_context,animal_or_object_visual_setup,high,"Ah, This is a chicken feather?,"
$00,134,$B39313,3,$B39321,StartTextBox,013A,Text_13A_Dialog_BuildTerrificOneLookForward,Dialog,npc_or_event_dialogue,animal_or_object_visual_setup,high,"I'll build a terrific one, Look forward to it."
$00,134,$B39313,8,$B39336,StartTextBox,013B,Text_13B_Dialog_CostsGEnlargeHouseTake,Dialog,house_upgrade_or_family_context,animal_or_object_visual_setup,high,It costs <CTRL_B3><CTRL_B2><CTRL_B2><CTRL_B2><CTRL_B2>G to enlarge your house. Take it? Yes No…
$00,134,$B39313,14,$B39352,StartTextBox,013C,Text_13C_Dialog_Have,Dialog,npc_or_event_dialogue,animal_or_object_visual_setup,high,Oh no:just do what you have to do.OK?
$00,135,$B39313,3,$B39321,StartTextBox,013A,Text_13A_Dialog_BuildTerrificOneLookForward,Dialog,npc_or_event_dialogue,animal_or_object_visual_setup,high,"I'll build a terrific one, Look forward to it."
$00,135,$B39313,8,$B39336,StartTextBox,013B,Text_13B_Dialog_CostsGEnlargeHouseTake,Dialog,house_upgrade_or_family_context,animal_or_object_visual_setup,high,It costs <CTRL_B3><CTRL_B2><CTRL_B2><CTRL_B2><CTRL_B2>G to enlarge your house. Take it? Yes No…
$00,135,$B39313,14,$B39352,StartTextBox,013C,Text_13C_Dialog_Have,Dialog,npc_or_event_dialogue,animal_or_object_visual_setup,high,Oh no:just do what you have to do.OK?
$01,1,$B39D05,15,$B39D41,StartTextBox,01C9,Text_1C9_Dialog_GivingWrongPerson,Dialog,child_family_event,mixed_event_script,medium,Hey: you are giving it to a wrong person.
$01,1,$B39D05,18,$B39D50,StartTextBox,0200,Text_200_Dialog_Thank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you.
$01,1,$B39D05,20,$B39D57,StartTextBox,03B8,Text_3B8_Dialog_Want,Dialog,npc_or_event_dialogue,mixed_event_script,medium,I don't want it.
$01,1,$B39D05,36,$B39DB4,StartTextBox,0035,Text_035_Dialog_HowsGoingWorkTooHard,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Hey: how's it going? Don't work too hard. Just take time.
$01,1,$B39D05,38,$B39DBB,StartTextBox,0036,Text_036_Animal_AskFloristFlowersAskLivestock,Animal,npc_florist_family,mixed_event_script,medium,Ask the florist for flowers and ask the livestock delaerfor livestock. Better ask Mrs. Fortune-…
$01,1,$B39D05,47,$B39DE7,StartTextBox,020B,Text_20B_Festival_OneHasGoFestivalBut,Festival,festival_event;weather_context,mixed_event_script,medium,No one has to go to the festival but please join us tomorrow.
$01,1,$B39D05,49,$B39DEE,StartTextBox,023D,Text_23D_Festival_HaveHarvestFestivalTomorrowRight,Festival,festival_event;festival_or_title_context;weather_context,mixed_event_script,medium,We'll have the harvest festival tomorrow: right? Autumn has already been here.
$01,1,$B39D05,51,$B39DF5,StartTextBox,02AD,Text_2AD_Animal_StarNightFestivalSupposedPray,Animal,festival_event,mixed_event_script,medium,On the Star Night Festival you are supposed to pray forthe night when you can see the most beau…
