bank,label,snes_addr,xref_count,xrefs,text_preview
B6,Text_Forecast_Spring_Sunny,B68000,1,src/code_banks/bank_83.asm:3346: dl Text_Forecast_Spring_Sunny        ;B68000;00,Hello: this is the weather  forecast for tomorrow.      It'll be sunny and calm / for the whole day tomorrow.
B6,Text_Forecast_Summer_Sunny,B680D8,1,src/code_banks/bank_83.asm:3347: dl Text_Forecast_Summer_Sunny        ;B680D8;01,It's been hot recently.     The weather forecast for    tomorrow is fair.
B6,Text_Forecast_Fall_Sunny,B6816C,1,src/code_banks/bank_83.asm:3348: dl Text_Forecast_Fall_Sunny          ;B6816C;02,The autumn mountains are    beautifully colored  The skywill be clear and blue / tomorrow.
B6,Text_Forecast_Winter_Sunny,B6821E,1,src/code_banks/bank_83.asm:3349: dl Text_Forecast_Winter_Sunny        ;B6821E;03,It's getting colder day by  day but how are you doing?  It'll be fair tomorrow.
B6,Text_Forecast_Spring_Rain,B682BE,1,src/code_banks/bank_83.asm:3350: dl Text_Forecast_Spring_Rain         ;B682BE;04,Hello. The weather forecast for tomorrow is that it'll  begin to rain at midnight / and will be rainy for the   whole day.
B6,Text_Forecast_Summer_Rain,B683B0,1,src/code_banks/bank_83.asm:3351: dl Text_Forecast_Summer_Rain         ;B683B0;05,This is the weather forecastfor tomorrow. It'll start torain hard in the morning / with lightening in some     places.
B6,Text_Forecast_Fall_Rain,B6849A,1,src/code_banks/bank_83.asm:3352: dl Text_Forecast_Fall_Rain           ;B6849A;06,It's getting cooler         everyday. It'll be raining  for the whole day tomorrow.
B6,Text_Forecast_Winter_Snow,B68542,1,src/code_banks/bank_83.asm:3353: dl Text_Forecast_Winter_Snow         ;B68542;07,It's pretty cold now.       The weather forecast for    tomorrow is snow.
B6,Text_Forecast_Summer_Hurricane,B685D6,1,src/code_banks/bank_83.asm:3354: dl Text_Forecast_Summer_Hurricane    ;B685D6;08,"Here's the hurricane        information. The hurricane  is becoming stronger and / is getting nearer. Please   don't forget to keep all thelivestock inside,"
B6,Text_LogBook,B6870C,1,src/code_banks/bank_83.asm:3355: dl Text_LogBook                      ;B6870C;09,Latest funds                         <CTRL_FFFC>hb<CTRL_B2>G / Cow     <CTRL_FFFC>cc                  Chicken <CTRL_FFFC>cd / Dog     <CTRL_FFFD>eb                Horse   <CTRL_FFF
B6,Text_Diary,B68802,1,src/code_banks/bank_83.asm:3356: dl Text_Diary                        ;B68802;0A,Shall I write in my diary   before I go to bed? /  Yes                         No<CHOICE_OR_WAIT>c
B6,DATA16_B688A4,B688A4,1,src/code_banks/bank_83.asm:3357: dl DATA16_B688A4                     ;B688A4;0B----,I'll work hard again        tomorrow.
B6,Text_Diary2,B688F0,1,src/code_banks/bank_83.asm:3358: dl Text_Diary2                       ;B688F0;0C, I'm going to bed.           Oh: I've got something      to do.<CHOICE_OR_WAIT>c
B6,DATA16_B68972,B68972,1,src/code_banks/bank_83.asm:3359: dl DATA16_B68972                     ;B68972;0D----,Good night.
B6,Text_Sign_House_Expansion,B6898A,1,src/code_banks/bank_83.asm:3360: dl Text_Sign_House_Expansion         ;B6898A;0E,"""Allocated land for the     annex of the house"" / Necessary Materials                  <CTRL_FFFC>depiece"
B6,Text_Manual_Sickle,B68A46,1,src/code_banks/bank_83.asm:3361: dl Text_Manual_Sickle                ;B68A46;0F,"""Sickle""                    Cut the grass to make feed, / It's the feed for cows and  chickens. I would be thrown into a pinch if / it's gone."
B6,Text_Manual_Hoe,B68B5E,1,src/code_banks/bank_83.asm:3362: dl Text_Manual_Hoe                   ;B68B5E;10,"""Hoe""                       Plow the ground to make a   field. / Raise vegetables in the     field. / Try various ways to make thefield."
B6,Text_Manual_Axe,B68C68,1,src/code_banks/bank_83.asm:3363: dl Text_Manual_Axe                   ;B68C68;11,"""Axe""                       Split logs to make lumber.  Lumber is useful. / Focus on one point and hit. Don't enter the control pad."
B6,Text_Manual_Hammer,B68D6E,1,src/code_banks/bank_83.asm:3364: dl Text_Manual_Hammer                ;B68D6E;12,"""Hammer""                    Breaks rocks and breaks     fences down. / Big rocks can be knocked    down when focusing on one   spot. / Don't ever enter the        control pad."
B6,Text_Manual_Can,B68EC6,1,src/code_banks/bank_83.asm:3365: dl Text_Manual_Can                   ;B68EC6;13,"""Watering can""              Water the crops. Once a day.No watering is necessary / on rainy days.              Dip up water at a well or a pond when it runs out."
B6,Text_Manual_Milker,B69006,1,src/code_banks/bank_83.asm:3366: dl Text_Manual_Milker                ;B69006;14,"""Milker""                    Milk cows and ship the milk."
B6,Text_Manual_Brush,B69078,1,src/code_banks/bank_83.asm:3367: dl Text_Manual_Brush                 ;B69078;15,"""Brush""                     Brushing raises the cows'   level of affection. / A cow with High affection   gives a lot of milk."
B6,Text_Manual_Bell,B69172,1,src/code_banks/bank_83.asm:3368: dl Text_Manual_Bell                  ;B69172;16,"""Bell""                      A tool used to herd cows.   Look at the cows carefully / and move them properly."
B6,Text_Manual_CropSeeds,B69248,1,src/code_banks/bank_83.asm:3369: dl Text_Manual_CropSeeds             ;B69248;17,"""Vegetable seeds""           Sowing season is different. Ask the florist for the / proper season.              Seeds must be sown in the   field. They won't bud / without watering."
B6,Text_Manual_GrassSeeds,B693A8,1,src/code_banks/bank_83.asm:3370: dl Text_Manual_GrassSeeds            ;B693A8;18,"""Grass seeds""               Sow the field from spring tosummer. / It grows without watering.  The Meadow must be ready forraising cows and chickens. / Grass is ready for mowing   w"
B6,Text_Manual_Paint,B6953E,1,src/code_banks/bank_83.asm:3371: dl Text_Manual_Paint                 ;B6953E;19,"""Paint""                     Paint the house right."
B6,DATA16_B695A4,B695A4,1,src/code_banks/bank_83.asm:3372: dl DATA16_B695A4                     ;B695A4;1A,No: don't tell me you are   working on New Years' Day.  Just relax today.
B6,Text_Sign_Wood,B69638,1,src/code_banks/bank_83.asm:3373: dl Text_Sign_Wood                    ;B69638;1B,Latest materials                     <CTRL_FFFC>dfpiece           Split logs and collect them.
B6,Text_Sign_Fodder,B696E2,1,src/code_banks/bank_83.asm:3374: dl Text_Sign_Fodder                  ;B696E2;1C,Feed                                 <CTRL_FFFC>dgpiece           Mow grass to make more feed.
B6,DATA16_B6978C,B6978C,1,src/code_banks/bank_83.asm:3375: dl DATA16_B6978C                     ;B6978C;1D,Oh yes: I've nailed down thedoor to prepare for the     hurricane.
B6,Text_Sign_Fork,B69812,1,src/code_banks/bank_83.asm:3376: dl Text_Sign_Fork                    ;B69812;1E, Neighbor town               Back hill
B6,Text_Sign_Mountain_Top,B69860,1,src/code_banks/bank_83.asm:3377: dl Text_Sign_Mountain_Top            ;B69860;1F, to the top
B6,Text_Sign_Hotspring,B69878,1,src/code_banks/bank_83.asm:3378: dl Text_Sign_Hotspring               ;B69878;20,Get undressed here.
B6,Text_Sign_Cave,B698A0,1,src/code_banks/bank_83.asm:3379: dl Text_Sign_Cave                    ;B698A0;21,"Dangerous, Easy to collapse,"
B6,Text_Sign_Workmans,B698DA,1,src/code_banks/bank_83.asm:3380: dl Text_Sign_Workmans                ;B698DA;22,workman's House Call us for annex <$0040> extension / Closed on weekends and      holidays.
