bank,label,snes_addr,pc_offset,usa_word_count,br_word_count,changed,usa_text,br_text
B6,Text_Forecast_Spring_Sunny,B68000,0x1B0000,108,108,True,"Hello: this is the weather  forecast for tomorrow.      It'll be sunny and calm
for the whole day tomorrow.","Olá: esta é a previsão do   tempo para amanhã.          Será ensolarado e calmo
amanhã o dia inteiro."
B6,Text_Forecast_Summer_Sunny,B680D8,0x1B00D8,74,74,True,It's been hot recently.     The weather forecast for    tomorrow is fair.,Tem sido quente ultimamente.A previsão para amanhã é de tempo bom.
B6,Text_Forecast_Fall_Sunny,B6816C,0x1B016C,89,89,True,"The autumn mountains are    beautifully colored  The skywill be clear and blue
tomorrow.","As montanhas estão lindamen-te coloridas.  O céu vai    estar claro e azul
amanhã."
B6,Text_Forecast_Winter_Sunny,B6821E,0x1B021E,80,80,True,It's getting colder day by  day but how are you doing?  It'll be fair tomorrow.,Está ficando frio dia após  dia:mas o que está havendo? Amanhã será tempo bom.
B6,Text_Forecast_Spring_Rain,B682BE,0x1B02BE,121,121,True,"Hello. The weather forecast for tomorrow is that it'll  begin to rain at midnight
and will be rainy for the   whole day.","Olá. A previsão do tempo    para amanhã é que vai come- çar a chover à meia-noite
e o dia inteiro será        chuvoso."
B6,Text_Forecast_Summer_Rain,B683B0,0x1B03B0,117,117,True,"This is the weather forecastfor tomorrow. It'll start torain hard in the morning
with lightening in some     places.","Esta é a previsão do tempo  para amanhã. Vai começar a  chover forte pela manhã
com relâmpagos em alguns    locais."
B6,Text_Forecast_Fall_Rain,B6849A,0x1B049A,84,84,True,It's getting cooler         everyday. It'll be raining  for the whole day tomorrow.,Está cada dia mais frio.    Amanhã vai chover durante o dia inteiro.
B6,Text_Forecast_Winter_Snow,B68542,0x1B0542,74,74,True,It's pretty cold now.       The weather forecast for    tomorrow is snow.,Está muito frio agora.      O tempo previsto para amanhãé de neve.
B6,Text_Forecast_Summer_Hurricane,B685D6,0x1B05D6,155,155,True,"Here's the hurricane        information. The hurricane  is becoming stronger and
is getting nearer. Please   don't forget to keep all thelivestock inside,","Aqui está a informação do   furacão.  O furacão está    ficando mais forte e
chegando perto. Por favor:  não esqueça de manter todo oestoque dentro,"
B6,Text_LogBook,B6870C,0x1B070C,123,123,True,"Latest funds                         <CTRL_FFFC>hb<CTRL_B2>G
Cow     <CTRL_FFFC>cc                  Chicken <CTRL_FFFC>cd
Dog     <CTRL_FFFD>eb                Horse   <CTRL_FFFD>ec","Últimos fundos                       <CTRL_FFFC>hb<CTRL_B2>G
Vaca    <CTRL_FFFC>cc                  Galinha <CTRL_FFFC>cd
Cão     <CTRL_FFFD>eb                Cavalo  <CTRL_FFFD>ec"
B6,Text_Diary,B68802,0x1B0802,81,81,True,"Shall I write in my diary   before I go to bed?
 Yes                         No<CHOICE_OR_WAIT>c","Devo escrever em meu diário antes de ir dormir?
 <$0060><$0061>                          <$0062><$0063><CHOICE_OR_WAIT>c"
B6,DATA16_B688A4,B688A4,0x1B08A4,38,38,True,I'll work hard again        tomorrow.,Amanhã trabalharei muito no-vamente.
B6,Text_Diary2,B688F0,0x1B08F0,65,65,True, I'm going to bed.           Oh: I've got something      to do.<CHOICE_OR_WAIT>c, Estou indo pra cama.        Oh: achei algo para eu      fazer.<CHOICE_OR_WAIT>c
B6,DATA16_B68972,B68972,0x1B0972,12,12,True,Good night.,Boa noite.
B6,Text_Sign_House_Expansion,B6898A,0x1B098A,94,94,True,"""Allocated land for the     annex of the house""
Necessary Materials                  <CTRL_FFFC>depiece","""Terra destinada ao anexo dacasa""
Materiais Necessários                <CTRL_FFFC>depeças"
B6,Text_Manual_Sickle,B68A46,0x1B0A46,140,140,True,"""Sickle""                    Cut the grass to make feed,
It's the feed for cows and  chickens. I would be thrown into a pinch if
it's gone.","""Foice""                     Corta a grama,
É a comida para vacas e     galinhas. Não sei o que eu faria sem
isso...."
B6,Text_Manual_Hoe,B68B5E,0x1B0B5E,133,133,True,"""Hoe""                       Plow the ground to make a   field.
Raise vegetables in the     field.
Try various ways to make thefield.","""Enxada""                    Cavouca o chão para fazer umcampo.
Plante vegetais no campo.
Tente em várias direções."
B6,Text_Manual_Axe,B68C68,0x1B0C68,131,131,True,"""Axe""                       Split logs to make lumber.  Lumber is useful.
Focus on one point and hit. Don't enter the control pad.","""Machado""                   Corta toras para fazer lenhaLenha é útil.
Concentre em um ponto e bata.   Não mexa no direcional."
B6,Text_Manual_Hammer,B68D6E,0x1B0D6E,172,172,True,"""Hammer""                    Breaks rocks and breaks     fences down.
Big rocks can be knocked    down when focusing on one   spot.
Don't ever enter the        control pad.","""Martelo""                   Quebra rochas e derruba     cercas.
Derrube rochas grandes      batendo em um único ponto.
Não mexa no direcional."
B6,Text_Manual_Can,B68EC6,0x1B0EC6,160,160,True,"""Watering can""              Water the crops. Once a day.No watering is necessary
on rainy days.              Dip up water at a well or a pond when it runs out.","""Regador""                   Rega a plantação. Uma vez aodia. Não precisa regar
em dias chuvosos.           Pegue água no poço ou em umalagoa quando acabar."
B6,Text_Manual_Milker,B69006,0x1B1006,57,57,True,"""Milker""                    Milk cows and ship the milk.","""Leiteira""                  Para ordenhar vacas."
B6,Text_Manual_Brush,B69078,0x1B1078,125,125,True,"""Brush""                     Brushing raises the cows'   level of affection.
A cow with High affection   gives a lot of milk.","""Escova""                    Escovar aumenta o nível de  afeição das vacas.
Uma vaca com alta afeição dámuito leite."
B6,Text_Manual_Bell,B69172,0x1B1172,107,107,True,"""Bell""                      A tool used to herd cows.   Look at the cows carefully
and move them properly.","""Sino""                      Usado para guiar vacas.     Tenha atenção com as vacas
e guie-as corretamente."
B6,Text_Manual_CropSeeds,B69248,0x1B1248,176,176,True,"""Vegetable seeds""           Sowing season is different. Ask the florist for the
proper season.              Seeds must be sown in the   field. They won't bud
without watering.","""Sementes  de vegetais""     A estação de plantação varia  Pergunte à florista
sobre a estação correta.    Sementes devem ser plantadasno campo. Elas não
brotam sem água."
B6,Text_Manual_GrassSeeds,B693A8,0x1B13A8,203,203,True,"""Grass seeds""               Sow the field from spring tosummer.
It grows without watering.  The Meadow must be ready forraising cows and chickens.
Grass is ready for mowing   when it turns a deep green.","""Sementes de grama""         Semeie campos da primevera averão.
Elas crescem sem agoar.     Apronte o gramado para criarvacas e galinhas.
A grama deve ser cortada ao ficar verde-escura."
B6,Text_Manual_Paint,B6953E,0x1B153E,51,51,True,"""Paint""                     Paint the house right.","""Tinta""                     Pinta a casa."
B6,DATA16_B695A4,B695A4,0x1B15A4,74,74,True,No: don't tell me you are   working on New Years' Day.  Just relax today.,"Não me diga que você está   trabalhando no dia de ano   novo, Relaxe."
B6,Text_Sign_Wood,B69638,0x1B1638,85,85,True,Latest materials                     <CTRL_FFFC>dfpiece           Split logs and collect them.,Últimos materiais                    <CTRL_FFFC>dfpeças           Corte toras e colete-as.
B6,Text_Sign_Fodder,B696E2,0x1B16E2,85,85,True,Feed                                 <CTRL_FFFC>dgpiece           Mow grass to make more feed.,Comida                               <CTRL_FFFC>dgpeças           Corte grama para fazer mais.
B6,DATA16_B6978C,B6978C,0x1B178C,67,67,True,Oh yes: I've nailed down thedoor to prepare for the     hurricane.,Ah: eu preguei a porta para se preparar para o tornado.
B6,Text_Sign_Fork,B69812,0x1B1812,39,39,True, Neighbor town               Back hill, Cidade vizinha              Montanha
B6,Text_Sign_Mountain_Top,B69860,0x1B1860,12,12,True, to the top, topo
B6,Text_Sign_Hotspring,B69878,0x1B1878,20,20,True,Get undressed here.,Fique sem roupas.
B6,Text_Sign_Cave,B698A0,0x1B18A0,29,29,True,"Dangerous, Easy to collapse,","Perigoso, Fácil de desabar,"
B6,Text_Sign_Workmans,B698DA,0x1B18DA,84,84,True,"workman's House Call us for annex <$0040> extension
Closed on weekends and      holidays.","Casa dos construtores. Ane- xos e extensões.
Fechado em fins de semana e feriados."
B6,Text_Bachellorete_Diary,B69982,0x1B1982,56,56,True,"Found the diary,
 Read                        Not read<CHOICE_OR_WAIT>c","Achou o diário,
 Ler                         Não ler <CHOICE_OR_WAIT>c"
B6,Text_Mayor_House_Bookcase1,B699F2,0x1B19F2,63,63,True,"""Myths of Gods""             There are lots of difficult books.","""Mitos de Deuses""           Tem um monte de livros difíceis."
B6,Text_Mayor_House_Bookcase2,B69A70,0x1B1A70,54,54,True,"""History <$0040> Myths""           There's a lot others too.","""História e Mitos""          Tem muitos outros também."
B6,Text_Mayor_House_Bookcase3,B69ADC,0x1B1ADC,53,53,True,"""Simple lessons from God""   ""Happiness lies in life""","""Simples lições Divinas""    ""Felicidade tá na vida"""
B6,Text_Flowershop_Rooms_Bookcase,B69B46,0x1B1B46,47,47,True,"""Plants""                    ""Artistic Flowers""","""Plantas""                   ""Flores de Arte"""
B6,Text_Bar_Bookcase,B69BA4,0x1B1BA4,54,54,True,"""Cocktails: Best <CTRL_B3><CTRL_B2><CTRL_B2>""       ""How to make berry juice""","""Coquetéis: <CTRL_B3><CTRL_B2><CTRL_B2> Melhores""   ""Como fazer suco de baga"""
B6,Text_Restaurant_Bookcase,B69C10,0x1B1C10,47,47,True,"""Tasty Cakes""               ""Dishes for today""","""Bolos Gostosos""            ""Pratos para hoje"""
B6,Text_GeneralStore_Rooms_Bookcase,B69C6E,0x1B1C6E,55,55,True,"""Get into invention""        ""Daily life and groceries""","""Entre nas invenções""       ""Dia-a-dia e mantimentos."""
B6,Text_WitchHouse_Bookcase,B69CDC,0x1B1CDC,92,92,True,"""Encyclopedia of fortune    telling ""
""Heart pounding             compatibility of partner""","""Enciclopédia dos videntes""
""Corações medindo           compatibilidade de pares"""
B6,Text_Carpenters_Bookcase,B69D94,0x1B1D94,48,48,True,"""House and living""          ""We are carpenters""","""O Lar e a Vida""            ""A carpinteiros"""
B6,Text_Shop_Closed,B69DF4,0x1B1DF4,15,15,True,"""We're closed""","""FECHADO"""
B6,Text_Bar_Closed,B69E12,0x1B1E12,18,18,True,"""We're preparing""","""Logo abriremos."""
B6,Text_Cow_Talk,B69E36,0x1B1E36,48,48,True,Yes:<CTRL_FFFD>ed: good girl         You look fine today.,Sim:<CTRL_FFFD>ed: boa garota.       Você parece bem.
B6,Text_Cow_Talk_Cranky,B69E96,0x1B1E96,18,18,True,<CTRL_FFFD>ee looks cranky.,<CTRL_FFFD>ee parece louco.
B6,Text_Cow_Talk_Sick,B69EBA,0x1B1EBA,76,76,True,"<CTRL_FFFD>ef is sick,               I've got to give ....       medicine right away,","<CTRL_FFFD>ef está doente,           Eu tenho que dar ....       o remédio logo ali,"
B6,Text_Cow_Talk_Pregnant,B69F52,0x1B1F52,42,42,True,<CTRL_FFFC>ch more days for delivery.  Come on <CTRL_FFFD>eg.,<CTRL_FFFC>ch dias para o recebimento. Venha <CTRL_FFFD>eg.
B6,Text_Elf_Cave_Door_Closed,B69FA6,0x1B1FA6,29,29,True,I can't open it.It's locked.,Não posso abrir.Tá fechado.
B6,DATA16_B69FE0,B69FE0,0x1B1FE0,47,47,True,I can't open it.            something's stuck.,Não posso abrir.  Há alguma coisa emperrando.
B6,DATA16_B6A03E,B6A03E,0x1B203E,72,72,True,Hey: how's it going?        Don't work too hard.        Just take time.,Ei: como está indo?         Não trabalhe tanto.         Dê um tempo.
B6,DATA16_B6A0CE,B6A0CE,0x1B20CE,125,125,True,"Ask the florist for flowers and ask the livestock delaerfor livestock.
Better ask Mrs.             Fortune-teller for girls.","Peça flores ao florista e   gado para o comerciante de  gados.
E é melhor falar com a Sra. Vidente sobre garotas."
B6,DATA16_B6A1C8,B6A1C8,0x1B21C8,50,50,True,Don't hang around.          Listen to the priest.,Não fique andando por aí.   Escute o padre.
B6,DATA16_B6A22C,B6A22C,0x1B222C,74,74,True,"You are off today:          aren't you?
We can't keep it up all the time.","Você está descansando: não  é?  Não
podemos trabalhar sem parar."
B6,DATA16_B6A2C0,B6A2C0,0x1B22C0,82,82,True,People in town talk         differently according to theweather: day: and season.,O povo na cidade fala semprediferente: de acordo com o  clima: dia: e estação.
B6,DATA16_B6A364,B6A364,0x1B2364,204,204,True,"Everybody has different     ideas on what happiness     means:right?
I guess the best thing is   to do what you want to do.  But it's probably not
real happiness when you     annoy someone or are blamed.","Todos têm diferentes idéias sobre o que é a felicidade: certo?
Eu acho que a melhor coisa éfazer o que você quiser.    Mas provavelmente a
felicidade é falsa quando   você pertuba outras pessoas."
B6,DATA16_B6A4FC,B6A4FC,0x1B24FC,132,132,True,"You are working so hard.    You should have a chat with your friends or go to
mountains...                to relax once in a while.","Você está trabalhando muito.Vá conversar com seus amigosou vá para as
montanhas...                para relaxar um pouco."
B6,DATA16_B6A604,B6A604,0x1B2604,87,87,True,"This church is dedicated to the God of the crops.       I suggest you pray
faithfully.","Esta igreja é dedicada ao   Deus das colheitas.         Sugiro você rezar
com fé."
B6,DATA16_B6A6B2,B6A6B2,0x1B26B2,75,75,True,I like taking my time       reading books.That's one of my happiest times.,Gosto de passar meu tempo   lendo livros. São as minhas melhores horas.
B6,DATA16_B6A748,B6A748,0x1B2748,82,82,True,Have you heard of the water imp? Someone has seen it in the pond of the mountain.,Você já ouviu falar do diabod'água? Alguém o viu na     fonte da montanha.
B6,DATA16_B6A7EC,B6A7EC,0x1B27EC,215,215,True,"Don't think it's OK to do   bad things if it's not      discovered.
No one is perfect. We all   make mistakes.              That's the way we are.
But it's wrong to not feel  guilty about what you've    done wrong.","Não pense que é bom fazer   coisas ruins se você não fordescoberto.
Ninguém é perfeito. Todos   erramos.  É assim que as    coisas são.
Mas é errado não sentir     culpa de coisas que você fezerrado."
B6,DATA16_B6A99A,B6A99A,0x1B299A,62,62,True,I wonder if our daughter Anncan get married living like that.,Não sei como nossa filha Annpode se casar vivendo assim.
B6,DATA16_B6AA16,B6AA16,0x1B2A16,85,85,True,Hi: how's your work going?  There are some wild dogs:   so you should fix the fence.,Oi: como vai seu trabalho?  Há cães selvagens: então    você deve repôr a cerca.
B6,DATA16_B6AAC0,B6AAC0,0x1B2AC0,55,55,True,I believe God exists.       You believe it: don't you?,Acredito que Deus exista.   Você também: não é?
B6,DATA16_B6AB2E,B6AB2E,0x1B2B2E,97,97,True,"Hey: it's strange. She is   always here by now.
.....oh no:                 it's nothing at all.","Ei: é estranho. Ela está    sempre aqui agora.
.....oh não:                não é nada."
B6,DATA16_B6ABF0,B6ABF0,0x1B2BF0,151,151,True,"Hi. Are you taking a walk   too? It's important to get afew days off.
Working hard till late at   night will drive you crazy: mentally and physically.","Oi. Você está dando uma     passeada? É importante      descansar.
Trabalhar duro até tarde    da noite acaba com você:men-talmente e fisicamente."
B6,DATA16_B6AD1E,B6AD1E,0x1B2D1E,180,180,True,"I just can't help myself    worrying about Ann so much. Mr. <CTRL_FFFD>eh: you are of the
same generation as Ann.     What do you think of her?   ....oh: sorry.
Maybe I'm a little confused.","Eu não posso ficar me preo- cupando toda hora com Ann.  Sr. <CTRL_FFFD>eh: você é da
mesma geração de Ann.       O que você pensa dela?      ..oh:desculpe.
Talvez eu esteja confuso."
B6,DATA16_B6AE86,B6AE86,0x1B2E86,99,99,True,"Hello. You always look fine.The bag of seed for sowing. It's convenient to buy
a few bags at once.","Olá. Você sempre parece bem.O saco de sementes. É con-  veniente comprar sem-
pre alguns sacos."
B6,DATA16_B6AF4C,B6AF4C,0x1B2F4C,71,71,True,Grass grows in Autumn so youdon't have to mow much      before Winter.,A grama cresce no Outono:   então não é preciso cortar  até o Inverno.
B6,DATA16_B6AFDA,B6AFDA,0x1B2FDA,49,49,True,May everyone give kindness  to everyone else....,Todos devem ser bondosos comos outros....
B6,DATA16_B6B03C,B6B03C,0x1B303C,5,5,False,....,....
B6,DATA16_B6B046,B6B046,0x1B3046,75,75,True,What? The shop is closed on Saturdays. So I'm bathing inthe sun. Nice:huh?,Quê? A loja está fechada nosSábados. Então eu tomo banhode sol. Legal:né?
B6,DATA16_B6B0DC,B6B0DC,0x1B30DC,129,129,True,"It's kind of dark on rainy  days....feels slightly      lonely:doesn't it?
But the rain is good when itcomes to producing crops.","É muito escuro em dias chu- vosos...nos faz sentir soli-tários: não é?
Mas a chuva é boa quando vempara aumentar a colheita."
B6,DATA16_B6B1DE,B6B1DE,0x1B31DE,54,54,True,What a coincidence. Are you having a meal here today?,Que coincidência.   Você    está comendo aqui hoje?
B6,DATA16_B6B24A,B6B24A,0x1B324A,68,68,True,It's not easy to work       steadily but it's           worthwhile.,Não é fácil trabalhar sem   parar: mas é muito recompen-sador.
B6,DATA16_B6B2D2,B6B2D2,0x1B32D2,107,107,True,"Hope business will be       better:it will be better   ....
What? Isn't it the God of   business? Oh:well.","Espero que os negócios me-  lhorem:sim:vão melhorar sim....
Quê? Não é o Deus dos negó- cios? Ah: bom."
B6,DATA16_B6B3A8,B6B3A8,0x1B33A8,100,100,True,"It's good to bathe in the   sun. Eat well and work hard.Good health is the
foundation of happiness.","É bom tomar um pouco de sol.Coma bem e trabalhe muito.  A boa saúde é a
base da felicidade."
B6,DATA16_B6B470,B6B470,0x1B3470,81,81,True,Eat something when you are  tired. Our cakes are the    best to get more energy.,Coma quando ficar cansado.  Nossos bolos são os melho-  res para se recuperar.
B6,DATA16_B6B512,B6B512,0x1B3512,37,37,True,"Howdy:young boys, What's up?....hic.","Alô:jovens, Qual é?....hic."
B6,DATA16_B6B55C,B6B55C,0x1B355C,57,57,True,...hic:working like a dog   is not the only way to live.,...trabalhar como um cão nãoé o único jeito de viver.
B6,DATA16_B6B5CE,B6B5CE,0x1B35CE,65,65,True,It's my routine to take a   walk on Sundays so it's OK  with me.,Tenho o hábito de andar aos Domingos então está tudo bemcomigo.
B6,DATA16_B6B650,B6B650,0x1B3650,107,107,True,"Oh no:it started raining    now...gee: I was going to   work.
Well:I can do nothing but   stay home today.","Ah não:começou a chover     agora...eu estava indo      tra-
balhar. Bem: então não vou  poder ir hoje."
B6,DATA16_B6B726,B6B726,0x1B3726,83,83,True,"What are you saying?        It doesn't matter if It     rains to do our work here,","O que você está dizendo?    Não tem a menor importância se chover aqui,"
B6,DATA16_B6B7CC,B6B7CC,0x1B37CC,77,77,True,"ulp...soooo...great,        She's out.I can relax as    much as
I want:yeah.","ulp...é.....beleza,,        Ela saiu.Eu posso relaxar o quanto
quiser:hah."
B6,DATA16_B6B866,B6B866,0x1B3866,102,102,True,"You can be calm inside the  church.Not many people here:you know.
It's crowded on holidays    though.","Aqui dentro você pode ficar calmo.Poucos vêm aqui:      sabe.
Mas nos feriados: aqui fica lotado."
B6,DATA16_B6B932,B6B932,0x1B3932,131,131,True,"I felt time went by slowly  when I was young.           Now time goes by too fast
and one year seems short.   It's strange:really.","Eu sentia o tempo passar    devagar quando era jovem.   Agora o tempo vai rápido
e um ano parece pequeno.    Isso é estranho..."
B6,DATA16_B6BA38,B6BA38,0x1B3A38,136,136,True,"Have sympathy for people.   When you are kind to people:they give you
kindness in return.         Animals are the same as us  for sure.","Seja simptático com pessoas.Quando você é bom com outroseles lhe dão
bondade em troca.           É a mesma coisa com os      animais."
B6,DATA16_B6BB48,B6BB48,0x1B3B48,92,92,True,"It's not necessarily right  or wrong. Daily incidents   are neither.
It's up to you:really.","Não é necessariamente certo ou errado. Acidentes aconte-cem.
É sério."
B6,DATA16_B6BC00,B6BC00,0x1B3C00,83,83,True,"I know it won't consume yourstamina on a rainy day but  you should be off.
Really.","Eu sei que não consome sua  resistência em dias de chuvamas você deve des-
cansar."
B6,DATA16_B6BCA6,B6BCA6,0x1B3CA6,163,163,True,"It's tough to take care of  cows.Take good care of them so that they do not
get sick.My note is right   there so read it carefully  so you can avoid any
diseases.","É duro cuidar de vacas.     Tome muito cuidado com elas para elas não fica-
rem doentes. Minha nota estálogo ali então a leia bem   para você evitar
doenças."
B6,DATA16_B6BDEC,B6BDEC,0x1B3DEC,146,146,True,"Hey:do your hens lay eggs?  Put them in the cage.       And feed them every day.
They won't lay eggs for     <CTRL_B5>days after you miss a      feeding.","Ei: suas galinhas põem ovos?Coloque-as numa gaiola.     E alimente-as todo dia.
Elas não põem ovos por <CTRL_B5>diasdepois de você não pôr      comida."
B6,DATA16_B6BF10,B6BF10,0x1B3F10,87,87,True,"Hey:young boy, Put your     livestock inside the pen    before the weather gets
worse,","Ei:jovem, Ponha o seu       estoque dentro do cercado   antes que o clima fique
pior,"
B6,DATA16_B6BFBE,B6BFBE,0x1B3FBE,177,177,True,"You know:cows give you more milk when you take good careof them with love.
..hey:are you listening to  me? They will like you and  good calves will be born
...listen to me:boy,","Sabe:as vacas dão mais leitequando você cuida delas bem:com amor.
..ei: você está me ouvindo? Elas vão gostar de você e   bons bezerros vão nascer
...me ouça: garoto,"
B6,DATA16_B6C120,B6C120,0x1B4120,93,93,True,"You can't redo your life.   You might not have the      second chance.
Think before you act.","Você não pode refazer sua   vida. Não se pode ter segun-da chance.
Pense antes de agir."
B6,DATA16_B6C1DA,B6C1DA,0x1B41DA,116,116,True,"Are you asking if I don't goto church? God is everywhereand He is nowhere:
you know.                   Hee-hee-hee.","Você está perguntando se eu vou a igreja? Deus    está em todo lugar:
então Ele está aqui: sabe.  Hee-hee-hee."
B6,DATA16_B6C2C2,B6C2C2,0x1B42C2,75,75,True,There's a useful book over  there: about girls:I wrote  it.Better read it.,Tem um livro bem útil ali:  sobre garotas: eu o escrevi.É melhor o ler.
B6,DATA16_B6C358,B6C358,0x1B4358,127,127,True,"I'm also a midwife.You know:the mayor's daughter Maria  and the grocery shop
owner's daughter Ann        I delivered them all.","Sou parteira. Sabe: a filha do prefeito Maria: a filha  do dono da mercearia
a Ann: fui eu que as trouxe ao mundo."
B6,DATA16_B6C456,B6C456,0x1B4456,125,125,True,"Grown-ups always make rule  telling us to do this:do    that:don't do this:
don't do that.What hard workit is being a child.","Adultos sempre fazem as     regras nos mandando fazer   isso:não fazer
aquilo...Que dureza é a vidade criança."
B6,DATA16_B6C550,B6C550,0x1B4550,60,60,True,Hmmm...is he in love with   Maria's sister? ....it can'tbe.,Hmmm...ele está apaixonado  pela irmã de Maria? não pode...
B6,DATA16_B6C5C8,B6C5C8,0x1B45C8,127,127,True,"We can gather many things inthe mountain.I want to sell them but they won't allow
a little kid to go to the   mountains alone.","Podemos juntar muitas coisasna montanha. Eu quero vendê--las mas não se permite
uma criança ir à montanha   sozinha."
B6,DATA16_B6C6C6,B6C6C6,0x1B46C6,45,45,True,"Please:please,              I've got a date.","Por favor:por favor,  Tenho um encontro."
B6,DATA16_B6C720,B6C720,0x1B4720,127,127,True,"You'd better read the book  written by Mrs.             Fortune-teller many times.
It's pretty hard to capture a girl's heart.","É melhor você ler o livro   escrito pela Sra. Vidente   várias e várias vezes.
É difícil capturar o coraçãode uma garota."
B6,DATA16_B6C81E,B6C81E,0x1B481E,37,37,True,Yeah: welcome. Make yourselfat home.,Bem-vindo. Sinta-se em      casa.
