pass90_confirmation_unit_key,entries,dominant_bucket,dominant_state,dominant_owner_type,review_scope,recommended_next_action,priority,groups,sample_candidates
structural::StewCookingPotDialogueAlias::AudioCue,29,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$47,StewCookingPotDialogueAlias_AudioCue_Entry000 | StewCookingPotDialogueAlias_AudioCue_Entry001 | StewCookingPotDialogueAlias_AudioCue_Entry002
structural::AudioCueMusicSequenceTable_B::AudioCue,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$42,AudioCueMusicSequenceTable_B_AudioCue_Entry000 | AudioCueMusicSequenceTable_B_AudioCue_Entry001 | AudioCueMusicSequenceTable_B_AudioCue_Entry002
structural::CCObjectParam2DSetupCluster::ObjectParamSetup,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$3E,CCObjectParam2DSetupCluster_ObjectParamSetup_Entry000 | CCObjectParam2DSetupCluster_ObjectParamSetup_Entry001 | CCObjectParam2DSetupCluster_ObjectParamSetup_Entry002
structural::CCObjectParam3SetupCluster::ObjectParamSetup,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$16,CCObjectParam3SetupCluster_ObjectParamSetup_Entry000 | CCObjectParam3SetupCluster_ObjectParamSetup_Entry001 | CCObjectParam3SetupCluster_ObjectParamSetup_Entry002
structural::EventCore3TableDrivenSceneRouter::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$12,EventCore3TableDrivenSceneRouter_ScriptControlEntry_Entry000 | EventCore3TableDrivenSceneRouter_ScriptControlEntry_Entry001 | EventCore3TableDrivenSceneRouter_ScriptControlEntry_Entry002
structural::GameStateTransitionBranchCluster::TransitionFlow,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$2E,GameStateTransitionBranchCluster_TransitionFlow_Entry000 | GameStateTransitionBranchCluster_TransitionFlow_Entry001 | GameStateTransitionBranchCluster_TransitionFlow_Entry002
structural::JumpIf018FStateRouter::StateGateRouter,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$3D,JumpIf018FStateRouter_StateGateRouter_Entry000 | JumpIf018FStateRouter_StateGateRouter_Entry001 | JumpIf018FStateRouter_StateGateRouter_Entry002
structural::MapTransitionDestinationRouter::TransitionFlow,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$0D,MapTransitionDestinationRouter_TransitionFlow_Entry000 | MapTransitionDestinationRouter_TransitionFlow_Entry001 | MapTransitionDestinationRouter_TransitionFlow_Entry002
structural::MolePickupEventCluster::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$20,MolePickupEventCluster_ScriptControlEntry_Entry000 | MolePickupEventCluster_ScriptControlEntry_Entry001 | MolePickupEventCluster_ScriptControlEntry_Entry002
structural::ParentsVisitCameraMotionCutsceneSetup::MotionOrVelocityUpdate,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$09,ParentsVisitCameraMotionCutsceneSetup_MotionOrVelocityUpdate_Entry000 | ParentsVisitCameraMotionCutsceneSetup_MotionOrVelocityUpdate_Entry001 | ParentsVisitCameraMotionCutsceneSetup_MotionOrVelocityUpdate_Entry002
