group,entry,target,pass94_final_script_control_branch_name,optional_refinement_lane,why_optional,prototype_key,sample_candidate
$02,5,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry005_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry005
$02,6,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry006_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry006
$02,7,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry007_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry007
$02,8,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry008_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry008
$02,9,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry009_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry009
$02,10,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry010_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry010
$02,11,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry011_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry011
$02,12,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry012_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry012
$02,13,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry013_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry013
$02,14,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry014_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry014
