group,entry,target,pass94_final_script_control_branch_name,optional_refinement_lane,why_optional,prototype_key,sample_candidate,pass95_final_literal_refinement_name,pass95_refinement_state,pass95_confidence_class,pass95_evidence_boundary,pass95_remaining_decomp_blocker
$02,5,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry005_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry005,FamilyRomanceSpeakerSceneBeat_G02_Entry005_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry005,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,6,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry006_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry006,FamilyRomanceSpeakerSceneBeat_G02_Entry006_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry006,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,7,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry007_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry007,FamilyRomanceSpeakerSceneBeat_G02_Entry007_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry007,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,8,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry008_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry008,FamilyRomanceSpeakerSceneBeat_G02_Entry008_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry008,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,9,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry009_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry009,FamilyRomanceSpeakerSceneBeat_G02_Entry009_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry009,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,10,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry010_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry010,FamilyRomanceSpeakerSceneBeat_G02_Entry010_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry010,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,11,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry011_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry011,FamilyRomanceSpeakerSceneBeat_G02_Entry011_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry011,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,12,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry012_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry012,FamilyRomanceSpeakerSceneBeat_G02_Entry012_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry012,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,13,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry013_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry013,FamilyRomanceSpeakerSceneBeat_G02_Entry013_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry013,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,14,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry014_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry014,FamilyRomanceSpeakerSceneBeat_G02_Entry014_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry014,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$02,15,$B3BA39,FamilyRomanceDialogueMatrixBranch_ScriptControlRow_G02_Entry015_TargetB3BA39,optional_exact_speaker_or_scene_beat,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::FamilyRomanceDialogueMatrix_A::ScriptControlEntry,FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry015,FamilyRomanceSpeakerSceneBeat_G02_Entry015_TB3BA39_FamilyRomanceDialogueMatrix_A_ScriptControlEntry_Entry015,closed_at_eventscript_evidence_boundary,final_matrix_row_exact_scene_beat_optional,Family/romance branch rows are fully named at speaker/scene-beat matrix level; schedule-only attribution is not encoded here.,no
$05,1,$B3D447,EveFamilyRomanceDialogueBranch_ScriptControlRow_G05_Entry001_TargetB3D447,optional_exact_eve_context,EventScript entry is now named at matrix-row level; exact in-game speaker/beat requires schedule or cutscene-specific evidence.,structural::EveFamilyRomanceDialogueSet::ScriptControlEntry,EveFamilyRomanceDialogueSet_ScriptControlEntry_Entry001,EveFamilyRomanceContext_G05_Entry001_TB3D447_EveFamilyRomanceDialogueSet_ScriptControlEntry_Entry001,closed_at_eventscript_evidence_boundary,final_matrix_context_exact_speaker_optional,Eve/family-romance matrix rows are fully named at matrix-context level; individual in-game speaker variant is outside the EventScript table.,no
