index_hex,bank,snes_addr,source_line,label,category,max_words,max_bytes,current_words,free_words,markup_text,edited_text,notes
000,B6,B68000,5,Text_Forecast_Spring_Sunny,Weather,108,216,108,0,Hello: this is the weather  forecast for tomorrow.      It'll be sunny and calm<LINE>for the whole day tomorrow.,,
001,B6,B680D8,20,Text_Forecast_Summer_Sunny,Weather,74,148,74,0,It's been hot recently.     The weather forecast for    tomorrow is fair.,,
002,B6,B6816C,31,Text_Forecast_Fall_Sunny,Weather,89,178,89,0,The autumn mountains are    beautifully colored  The skywill be clear and blue<LINE>tomorrow.,,
003,B6,B6821E,44,Text_Forecast_Winter_Sunny,Weather,80,160,80,0,It's getting colder day by  day but how are you doing?  It'll be fair tomorrow.,,
004,B6,B682BE,55,Text_Forecast_Spring_Rain,Weather,121,242,121,0,Hello. The weather forecast for tomorrow is that it'll  begin to rain at midnight<LINE>and will be rainy for the   whole day.,,
005,B6,B683B0,72,Text_Forecast_Summer_Rain,Weather,117,234,117,0,This is the weather forecastfor tomorrow. It'll start torain hard in the morning<LINE>with lightening in some     places.,,
006,B6,B6849A,88,Text_Forecast_Fall_Rain,Weather,84,168,84,0,It's getting cooler         everyday. It'll be raining  for the whole day tomorrow.,,
007,B6,B68542,100,Text_Forecast_Winter_Snow,Weather,74,148,74,0,It's pretty cold now.       The weather forecast for    tomorrow is snow.,,
008,B6,B685D6,111,Text_Forecast_Summer_Hurricane,Weather,155,310,155,0,"Here's the hurricane        information. The hurricane  is becoming stronger and<LINE>is getting nearer. Please   don't forget to keep all thelivestock inside,",,
009,B6,B6870C,132,Text_LogBook,Animal,123,246,123,0,Latest funds                         <CTRL_FFFC>hb<CTRL_B2>G<LINE>Cow     <CTRL_FFFC>cc                  Chicken <CTRL_FFFC>cd<LINE>Dog     <CTRL_FFFD>eb                Horse   <CTRL_FFFD>ec,,
00A,B6,B68802,149,Text_Diary,Diary,81,162,81,0,Shall I write in my diary   before I go to bed?<LINE> Yes                         No<CHOICE_OR_WAIT>c,,
00B,B6,B688A4,161,Text_00B_Diary_WorkHardAgainTomorrow,Diary,38,76,38,0,I'll work hard again        tomorrow.,Vou trabalhar duro amanha.,
00C,B6,B688F0,167,Text_Diary2,Dialog,65,130,65,0, I'm going to bed.           Oh: I've got something      to do.<CHOICE_OR_WAIT>c,,
00D,B6,B68972,177,Text_00D_Diary_GoodNight,Diary,12,24,12,0,Good night.,Boa noite.,
00E,B6,B6898A,180,Text_Sign_House_Expansion,Sign,94,188,94,0,"""Allocated land for the     annex of the house""<LINE>Necessary Materials                  <CTRL_FFFC>depiece",,
00F,B6,B68A46,193,Text_Manual_Sickle,Manual,140,280,140,0,"""Sickle""                    Cut the grass to make feed, <LINE>It's the feed for cows and  chickens. I would be thrown into a pinch if<LINE>it's gone.",,
010,B6,B68B5E,212,Text_Manual_Hoe,Manual,133,266,133,0,"""Hoe""                       Plow the ground to make a   field.<LINE>Raise vegetables in the     field.<LINE>Try various ways to make thefield.",,
011,B6,B68C68,230,Text_Manual_Axe,Manual,131,262,131,0,"""Axe""                       Split logs to make lumber.  Lumber is useful.<LINE>Focus on one point and hit. Don't enter the control pad.",,
012,B6,B68D6E,248,Text_Manual_Hammer,Manual,172,344,172,0,"""Hammer""                    Breaks rocks and breaks     fences down.<LINE>Big rocks can be knocked    down when focusing on one   spot.<LINE>Don't ever enter the        control pad.",,
013,B6,B68EC6,271,Text_Manual_Can,Manual,160,320,160,0,"""Watering can""              Water the crops. Once a day.No watering is necessary<LINE>on rainy days.              Dip up water at a well or a pond when it runs out.",,
014,B6,B69006,292,Text_Manual_Milker,Manual,57,114,57,0,"""Milker""                    Milk cows and ship the milk.",,
015,B6,B69078,301,Text_Manual_Brush,Manual,125,250,125,0,"""Brush""                     Brushing raises the cows'   level of affection.<LINE>A cow with High affection   gives a lot of milk.",,
016,B6,B69172,318,Text_Manual_Bell,Manual,107,214,107,0,"""Bell""                      A tool used to herd cows.   Look at the cows carefully<LINE>and move them properly.",,
017,B6,B69248,333,Text_Manual_CropSeeds,Manual,176,352,176,0,"""Vegetable seeds""           Sowing season is different. Ask the florist for the<LINE>proper season.              Seeds must be sown in the   field. They won't bud<LINE>without watering.",,
018,B6,B693A8,356,Text_Manual_GrassSeeds,Manual,203,406,203,0,"""Grass seeds""               Sow the field from spring tosummer.<LINE>It grows without watering.  The Meadow must be ready forraising cows and chickens.<LINE>Grass is ready for mowing   when it turns a deep green.",,
019,B6,B6953E,383,Text_Manual_Paint,Manual,51,102,51,0,"""Paint""                     Paint the house right.",,
01A,B6,B695A4,391,Text_01A_Festival_TellMeWorkingNewYears,Festival,74,148,74,0,No: don't tell me you are   working on New Years' Day.  Just relax today.,,
01B,B6,B69638,402,Text_Sign_Wood,Sign,85,170,85,0,Latest materials                     <CTRL_FFFC>dfpiece           Split logs and collect them.,,
01C,B6,B696E2,414,Text_Sign_Fodder,Sign,85,170,85,0,Feed                                 <CTRL_FFFC>dgpiece           Mow grass to make more feed.,,
01D,B6,B6978C,426,Text_01D_Weather_NailedDownThedoorPrepareHurricane,Weather,67,134,67,0,Oh yes: I've nailed down thedoor to prepare for the     hurricane.,,
01E,B6,B69812,436,Text_Sign_Fork,Sign,39,78,39,0, Neighbor town               Back hill,,
01F,B6,B69860,442,Text_Sign_Mountain_Top,Sign,12,24,12,0, to the top,,
020,B6,B69878,445,Text_Sign_Hotspring,Sign,20,40,20,0,Get undressed here.,,
021,B6,B698A0,449,Text_Sign_Cave,Sign,29,58,29,0,"Dangerous, Easy to collapse,",,
022,B6,B698DA,454,Text_Sign_Workmans,Sign,84,168,84,0,workman's House Call us for annex <$0040> extension<LINE>Closed on weekends and      holidays.,,
023,B6,B69982,466,Text_Bachellorete_Diary,Diary,56,112,56,0,"Found the diary,<LINE> Read                        Not read<CHOICE_OR_WAIT>c",,
024,B6,B699F2,474,Text_Mayor_House_Bookcase1,Mayor,63,126,63,0,"""Myths of Gods""             There are lots of difficult books.",,
025,B6,B69A70,483,Text_Mayor_House_Bookcase2,Mayor,54,108,54,0,"""History <$0040> Myths""           There's a lot others too.",,
026,B6,B69ADC,491,Text_Mayor_House_Bookcase3,Mayor,53,106,53,0,"""Simple lessons from God""   ""Happiness lies in life""",,
027,B6,B69B46,499,Text_Flowershop_Rooms_Bookcase,Flowershop,47,94,47,0,"""Plants""                    ""Artistic Flowers""",,
028,B6,B69BA4,506,Text_Bar_Bookcase,Shop,54,108,54,0,"""Cocktails: Best <CTRL_B3><CTRL_B2><CTRL_B2>""       ""How to make berry juice""",,
029,B6,B69C10,514,Text_Restaurant_Bookcase,Restaurant,47,94,47,0,"""Tasty Cakes""               ""Dishes for today""",,
02A,B6,B69C6E,521,Text_GeneralStore_Rooms_Bookcase,GeneralStore,55,110,55,0,"""Get into invention""        ""Daily life and groceries""",,
02B,B6,B69CDC,529,Text_WitchHouse_Bookcase,WitchHouse,92,184,92,0,"""Encyclopedia of fortune    telling ""<LINE>""Heart pounding             compatibility of partner""",,
02C,B6,B69D94,542,Text_Carpenters_Bookcase,Carpenters,48,96,48,0,"""House and living""          ""We are carpenters""",,
02D,B6,B69DF4,549,Text_Shop_Closed,Shop,15,30,15,0,"""We're closed""",Fechado.,
02E,B6,B69E12,552,Text_Bar_Closed,Shop,18,36,18,0,"""We're preparing""",,
02F,B6,B69E36,556,Text_Cow_Talk,Animal,48,96,48,0,Yes:<CTRL_FFFD>ed: good girl         You look fine today.,,
030,B6,B69E96,563,Text_Cow_Talk_Cranky,Animal,18,36,18,0,<CTRL_FFFD>ee looks cranky.,,
031,B6,B69EBA,567,Text_Cow_Talk_Sick,Animal,76,152,76,0,"<CTRL_FFFD>ef is sick,               I've got to give ....       medicine right away,",,
032,B6,B69F52,578,Text_Cow_Talk_Pregnant,Animal,42,84,42,0,<CTRL_FFFC>ch more days for delivery.  Come on <CTRL_FFFD>eg.,,
033,B6,B69FA6,585,Text_Elf_Cave_Door_Closed,Elf,29,58,29,0,I can't open it.It's locked.,,
034,B6,B69FE0,590,Text_034_Dialog_OpenSomethingsStuck,Dialog,47,94,47,0,I can't open it.            something's stuck.,,
035,B6,B6A03E,597,Text_035_Dialog_HowsGoingWorkTooHard,Dialog,72,144,72,0,Hey: how's it going?        Don't work too hard.        Just take time.,,
036,B6,B6A0CE,607,Text_036_Animal_AskFloristFlowersAskLivestock,Animal,125,250,125,0,Ask the florist for flowers and ask the livestock delaerfor livestock.<LINE>Better ask Mrs.             Fortune-teller for girls.,,
037,B6,B6A1C8,624,Text_037_Church_HangAroundListenPriest,Church,50,100,50,0,Don't hang around.          Listen to the priest.,,
