group,pass79_semantic_name,dialog_entries,direct_dialog_cmds,unique_text_ids,top_categories,top_roles,confidence,reason
$00,ObjectAnimalHouseUpgradeDialogHub,3,7,4,Dialog:6 Animal:1,npc_or_event_dialogue:4 house_upgrade_or_family_context:2 livestock_chicken_context:1,high,Chicken feather + carpenter/house-expansion dialog anchors.
$01,MixedNpcFestivalRomanceDialogHub,9,142,116,Dialog:65 Romance:29 Animal:22 Sign:8 Festival:7,npc_or_event_dialogue:56 romance_or_marriage_dialogue:14 event_dialogue_unknown_specific_owner:14 festival_event:13 weather_context:11 npc_maria_romance_or_family:8,high,"Large mixed NPC dialogue hub: gifts, festivals, family/romance, livestock/weather hints."
$02,FamilyRomanceDialogueMatrix_A,5,53,44,Dialog:34 Romance:10 Sign:3 Animal:2 Weather:2,npc_or_event_dialogue:31 romance_or_marriage_dialogue:5 event_dialogue_unknown_specific_owner:5 child_family_event:3 npc_maria_romance_or_family:3 npc_nina_romance_or_family:2,high,Family/romance matrix with Maria/Nina/child-family anchors.
$03,MarriageChurchBlueFeatherDialogueMatrix,3,49,38,Dialog:26 Romance:8 Church:7 Animal:3 Weather:3,npc_or_event_dialogue:24 event_dialogue_unknown_specific_owner:11 child_family_event:4 romance_or_marriage_dialogue:3 npc_maria_romance_or_family:2 weather_forecast_system:2,high,"Blue Feather, church, marriage/family dialog anchors."
$04,FamilyRomanceWeatherDialogueMatrix_B,8,91,61,Dialog:56 Weather:18 Romance:12 Sign:3 Animal:2,npc_or_event_dialogue:53 weather_forecast_system:13 romance_or_marriage_dialogue:7 weather_context:5 child_family_event:4 npc_maria_romance_or_family:3,high,Family/romance matrix with strong weather forecast/dialog branches.
$05,EveFamilyRomanceDialogueSet,1,17,14,Dialog:12 Romance:3 Manual:1 Weather:1,npc_or_event_dialogue:11 npc_eve_romance_or_family:2 child_family_event:1 romance_or_marriage_dialogue:1 weather_forecast_system:1 money_context:1,high,Small Eve/family/romance oriented dialogue set.
$06,EveWeatherLivestockDialogueMatrix,7,73,48,Dialog:53 Weather:18 Romance:2,npc_or_event_dialogue:50 weather_forecast_system:12 weather_context:4 ranch_livestock_context:2 npc_eve_romance_or_family:2 family_romance_gift_context:1,high,Weather/livestock/Eve dialogue matrix.
$07,MountainWeatherRomanceDialogueMatrix,8,89,68,Dialog:50 Weather:14 Romance:12 Animal:5 Sign:4,npc_or_event_dialogue:44 weather_forecast_system:9 event_dialogue_unknown_specific_owner:8 weather_context:8 romance_or_marriage_dialogue:7 child_family_event:3,high,Mountain/sign/weather/family-romance dialogue matrix.
$08,GeneralNpcWeatherFamilyDialogueMatrix,8,65,38,Dialog:56 Weather:5 Romance:3 Sign:1,npc_or_event_dialogue:54 weather_forecast_system:4 ranch_livestock_context:2 npc_eve_romance_or_family:2 romance_or_marriage_dialogue:1 livestock_cow_context:1,high,General NPC/weather/family-ranch dialogue matrix.
$0B,MountainAnglerFishingSignDialogue,3,5,3,Sign:4 Dialog:1,event_dialogue_unknown_specific_owner:4 house_upgrade_or_family_context:1,high,Mountain angler/fishing sign dialogue anchors.
$15,RanchToolManualAndWorkResultDialogue,1,7,6,Dialog:6 Manual:1,npc_or_event_dialogue:5 ranch_livestock_context:2,high,Ranch manual/tool-use/work-result dialogue anchors.
$24,FestivalTomorrowAnnouncementDialogues,4,9,9,Animal:3 Festival:3 Sign:2 Dialog:1,festival_event:6 weather_context:6 event_dialogue_unknown_specific_owner:2 festival_or_title_context:1 npc_or_event_dialogue:1,high,Festival tomorrow announcements and weather/festival reminders.
$26,StewCookingPotEventDialogue,1,4,3,Dialog:4,npc_or_event_dialogue:4,high,Stew/cooking-pot event dialogue sequence.
$43,GiftReactionHouseFamilyDialogRouter,5,186,67,Dialog:144 Romance:10 Animal:8 Sign:7 Festival:7,npc_or_event_dialogue:103 child_family_event:16 house_upgrade_context:10 event_dialogue_unknown_specific_owner:8 house_upgrade_or_family_context:8 festival_event:8,high,Large gift reaction / house / child-family / event-dialog router.
$44,NpcGiftFestivalLivestockDialogRouter,5,120,55,Dialog:88 Sign:9 Animal:7 Festival:7 Romance:6,npc_or_event_dialogue:72 event_dialogue_unknown_specific_owner:9 ranch_livestock_context:8 festival_event:8 weather_context:7 family_romance_gift_context:6,high,Gift/festival/livestock/NPC dialog router.
$45,FamilyCelebrationBirthdayDialogues,2,18,6,Dialog:18,npc_or_event_dialogue:16 family_romance_gift_context:2,high,Family celebration and birthday-like dialogue anchors.
$46,ShippingLivestockStatusDialogues,1,23,23,Dialog:8 Romance:6 Shipping:4 Sign:3 Animal:2,ranch_livestock_context:6 shipping_context:4 npc_or_event_dialogue:3 house_upgrade_or_family_context:3 livestock_cow_context:2 livestock_chicken_context:1,high,Shipping/livestock/status/money dialogue anchors.
$47,StewCookingPotDialogueAlias,1,1,1,Dialog:1,npc_or_event_dialogue:1,medium,Stew/cooking-pot dialogue alias/related entry.
