visual_or_object_ref,pass85_alias,pass85_class,pass85_confidence,pass86_semantic_alias,pass86_resolution_class,pass86_role,pass86_confidence,entry_count,semantic_visual_family,groups,top_visual_commands,owner_domain_top,scene_role_top,source_address_evidence,evidence_note,example_entries,text_sample
$B38C,InlineAssetOrImmediate_chicken_poultry_B38C,manual_asset_table_decode_needed,low,EventLocalAnchor_chicken_poultry_B38C,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,25,chicken_poultry,$00:25,SetCCObjectPointer SetCCObjectParam WaitOrSetCCCounter SetCCObjectVisual SetCCObjectParam5 SetCCObjectParam10,animal_livestock_general:4; animal_chicken_or_poultry:3; animal_cow_livestock:1,visual_object_setup_or_spawn:8,B38C08:src/data_banks/bank_B3.asm:258 | B38C18:src/data_banks/bank_B3.asm:259 | B38C28:src/data_banks/bank_B3.asm:260 | B38C38:src/data_banks/bank_B3.asm:261 | B38C48:src/data_banks/bank_B3.asm:262 | B38C58:src/data_banks/bank_B3.asm:263 | B38C68:src/data_banks/bank_B3.asm:264 | B38C78:src/data_banks/bank_B3.asm:265,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$00:0@$B38CC8 $00:1@$B38CD0 $00:2@$B38CDE $00:3@$B38CEB $00:86@$B390F3 $00:87@$B390F9 $00:88@$B390FF $00:89@$B39105,
$8001,InlineAssetOrImmediate_cow_livestock_8001,manual_asset_table_decode_needed,low,CCVisualPtr_cow_livestock_8001,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,12,cow_livestock,$43:5 $44:5 $45:2,SpawnOrMoveCCObject SetCCObjectParam8 SetCCObjectParam4 SetCCObjectBoxOrAnim,animal_livestock_general:5; animal_dog_pet:3,dialogue_textbox_flow:8,,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$43:0@$B58020 $43:1@$B584DA $43:2@$B58990 $43:3@$B58E4E $43:4@$B59313 $44:0@$B597F1 $44:1@$B599EB $44:2@$B59BE3,Text_200_Dialog_Thank: Thank you. | Text_3B0_Dialog_ThThank: ......Th-thank you. | Text_3B2_Dialog_ThankLooksDelicious: Thank you. It looks delicious. | Text_200_Dialog_Thank: Thank you. | Text_3B4_Dialog_PlayingNastyTrickMe: Are you playing a nasty trick on me? | Text_212_Dialog_WowThanksLotMmmmSmells: Wow:thanks a lot. Mmmm:it sm
$B3DB,InlineAssetOrImmediate_general_livestock_B3DB,manual_asset_table_decode_needed,low,EventLocalAnchor_general_livestock_B3DB,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,11,general_livestock,$07:11,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCObjectAndJump SetCCObjectParam4,animal_livestock_general:2,dialogue_textbox_flow:2,B3DB07:src/data_banks/bank_B3.asm:1532 | B3DB17:src/data_banks/bank_B3.asm:1533 | B3DB27:src/data_banks/bank_B3.asm:1534 | B3DB37:src/data_banks/bank_B3.asm:1535 | B3DB47:src/data_banks/bank_B3.asm:1536 | B3DB57:src/data_banks/bank_B3.asm:1537 | B3DB67:src/data_banks/bank_B3.asm:1538 | B3DB77:src/data_banks/bank_B3.asm:1539,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$07:1@$B3DB72 $07:2@$B3DBD5,"Text_200_Dialog_Thank: Thank you. | Text_1E0_Animal_TraditionAreaCalledBlueFeather: That's a tradition in this area called ""Blue feather ofhappiness."" Use it when y | Text_397_Dial | Text_200_Dialog_Thank: Thank you. | Text_1C6_Romance_SillyMarried: Don't be silly:I'm married. | Text_394_Animal_SaidHappyFlowerBloomsEat: It is said that a happy flower blooms whe"
$812C,InlineAssetOrImmediate_general_livestock_812C,manual_asset_table_decode_needed,low,CCVisualPtr_general_livestock_812C,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,9,general_livestock,$00:9,SetCCObjectPointer WaitOrSetCCCounter SetCCObjectParam SetCCObjectVisual SetCCObjectParam5 SetCCObjectParam9,animal_livestock_general:8,object_parameter_setup:5; visual_object_setup_or_spawn:3,,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$00:16@$B38D8E $00:20@$B38DD1 $00:25@$B38E1E $00:40@$B38F43 $00:41@$B38F50 $00:42@$B38F5D $00:43@$B38F6A $00:75@$B390B1,
$B3DF,InlineAssetOrImmediate_general_livestock_B3DF,manual_asset_table_decode_needed,low,EventLocalAnchor_general_livestock_B3DF,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,9,general_livestock,$07:9,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCObjectAndJump SetCCObjectParam4 SetCCObjectParam,animal_livestock_general:2,dialogue_textbox_flow:2,B3DF07:src/data_banks/bank_B3.asm:1596 | B3DF17:src/data_banks/bank_B3.asm:1597 | B3DF27:src/data_banks/bank_B3.asm:1598 | B3DF37:src/data_banks/bank_B3.asm:1599 | B3DF47:src/data_banks/bank_B3.asm:1600 | B3DF57:src/data_banks/bank_B3.asm:1601 | B3DF67:src/data_banks/bank_B3.asm:1602 | B3DF77:src/data_banks/bank_B3.asm:1603,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$07:5@$B3DF0F $07:6@$B3DFCE,"Text_200_Dialog_Thank: Thank you. | Text_1CA_Romance_HaveGiveGirlLoveGirl: You have to give it to the girl you love: OK? To the girl you want to marry. | Text_398_Dialog_DieWithout | Text_200_Dialog_Thank: Thank you. | Text_1C9_Dialog_GivingWrongPerson: Hey: you are giving it to a wrong person. | Text_05E_Weather_YoungBoyPutLivestockInside: Hey:young boy, Put y"
$80FC,InlineAssetOrImmediate_cow_livestock_80FC,manual_asset_table_decode_needed,low,CCVisualPtr_cow_livestock_80FC,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,7,cow_livestock,$00:7,WaitOrSetCCCounter SetCCObjectPointer SetCCObjectParam SetCCObjectVisual SetCCObjectParam5 SpawnOrMoveCCObject,animal_livestock_general:6; animal_cow_livestock:1,object_parameter_setup:4; visual_object_setup_or_spawn:3,0080FC:src/data_banks/bank_8F.asm:1756,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$00:5@$B38D05 $00:12@$B38D5A $00:13@$B38D67 $00:14@$B38D74 $00:15@$B38D81 $00:26@$B38E33 $00:94@$B39123,
$B3E1,InlineAssetOrImmediate_general_livestock_B3E1,manual_asset_table_decode_needed,low,EventLocalAnchor_general_livestock_B3E1,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,6,general_livestock,$08:6,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCObjectParam4,animal_livestock_general:1; npc_family_romance:1,dialogue_textbox_flow:2,B3E10F:src/data_banks/bank_B3.asm:1630 | B3E11F:src/data_banks/bank_B3.asm:1631 | B3E12F:src/data_banks/bank_B3.asm:1632 | B3E13F:src/data_banks/bank_B3.asm:1633 | B3E14F:src/data_banks/bank_B3.asm:1634 | B3E15F:src/data_banks/bank_B3.asm:1635 | B3E16F:src/data_banks/bank_B3.asm:1636 | B3E17F:src/data_banks/bank_B3.asm:1637,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$08:0@$B3E0DF $08:1@$B3E1C9,Text_200_Dialog_Thank: Thank you. | Text_3B9_Dialog_Trouble: I could be in trouble. | Text_401_Dialog_ImportantHumanOvercomeDifficulties: It's important for a human to overcome dif | Text_200_Dialog_Thank: Thank you. | Text_3B0_Dialog_ThThank: ......Th-thank you. | Text_411_Dialog_AllRightFeelEaseKnowing: Are you all right? I feel ease knowing no one was hurt. 
$B3A7,InlineAssetOrImmediate_cow_livestock_B3A7,manual_asset_table_decode_needed,low,EventLocalAnchor_cow_livestock_B3A7,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,5,cow_livestock,$01:5,SetCCObjectAndJump WaitOrSetCCCounter SpawnOrMoveCCObject SetCCObjectParam4 SetCCObjectParam2D,animal_cow_livestock:1,dialogue_textbox_flow:1,B3A709:src/data_banks/bank_B3.asm:692 | B3A719:src/data_banks/bank_B3.asm:693 | B3A729:src/data_banks/bank_B3.asm:694 | B3A739:src/data_banks/bank_B3.asm:695 | B3A749:src/data_banks/bank_B3.asm:696 | B3A759:src/data_banks/bank_B3.asm:697 | B3A769:src/data_banks/bank_B3.asm:698 | B3A779:src/data_banks/bank_B3.asm:699,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$01:7@$B3A727,Text_1C9_Dialog_GivingWrongPerson: Hey: you are giving it to a wrong person. | Text_200_Dialog_Thank: Thank you. | Text_3BB_Dialog_TakeKindofStuff: What? I can't take this kindof s
$B3C6,InlineAssetOrImmediate_general_livestock_B3C6,manual_asset_table_decode_needed,low,EventLocalAnchor_general_livestock_B3C6,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,5,general_livestock,$04:5,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCObjectAndJump SetCCObjectParam4,animal_livestock_general:1,dialogue_textbox_flow:1,B3C607:src/data_banks/bank_B3.asm:1192 | B3C617:src/data_banks/bank_B3.asm:1193 | B3C627:src/data_banks/bank_B3.asm:1194 | B3C637:src/data_banks/bank_B3.asm:1195 | B3C647:src/data_banks/bank_B3.asm:1196 | B3C657:src/data_banks/bank_B3.asm:1197 | B3C667:src/data_banks/bank_B3.asm:1198 | B3C677:src/data_banks/bank_B3.asm:1199,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$04:1@$B3C6AE,"Text_1E0_Animal_TraditionAreaCalledBlueFeather: That's a tradition in this area called ""Blue feather ofhappiness."" Use it when y | Text_200_Dialog_Thank: Thank you. | Text_3B0_Dial"
$B5A2,InlineAssetOrImmediate_npc_family_or_romance_B5A2,manual_asset_table_decode_needed,low,EventLocalAnchor_npc_family_or_romance_B5A2,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,4,npc_family_or_romance,$45:4,SpawnOrMoveCCObject SetCCObjectBoxOrAnim SetCCObjectParam4,npc_family_romance:1,dialogue_textbox_flow:1,B5A205:src/data_banks/bank_B5.asm:553 | B5A215:src/data_banks/bank_B5.asm:554 | B5A225:src/data_banks/bank_B5.asm:555 | B5A235:src/data_banks/bank_B5.asm:556 | B5A245:src/data_banks/bank_B5.asm:557 | B5A255:src/data_banks/bank_B5.asm:558 | B5A265:src/data_banks/bank_B5.asm:559 | B5A275:src/data_banks/bank_B5.asm:560,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$45:0@$B5A205,Text_1C2_Dialog_BooBoo: Boo-boo... | Text_1C2_Dialog_BooBoo: Boo-boo... | Text_41D_Dialog_CelebrationEesBirthdayYearNow: Celebration of <CTRL_FFFD>eE's birthday. It's been a year n
